Brand,OS_Platform,Resolution_Type,Inches,Launch_Year,Price,Review_Count,Rating
XIAOMI,FireTv OS,HD Ready,32.0,2025,11999,6401,4.3
Hisense,Google TV,Full HD,43.0,2024,19499,483,4.2
ONIDA,Google TV,Ultra HD (4K),43.0,2024,24990,126,4.2
Samsung,Google TV,Ultra HD (4K),50.0,2025,39990,1261,4.3
Acer,Google TV,Ultra HD (4K),43.0,2024,21800,569,4.2
Foxsky,Android,HD Ready,24.0,2025,5499,18,4.1
Samsung,Google TV,Ultra HD (4K),55.0,2025,41990,3724,4.3
XIAOMI,FireTv OS,Ultra HD (4K),55.0,2025,37999,141,4.0
Blaupunkt,Android,HD Ready,32.0,2025,10999,2749,4.5
Acer,Google TV,Ultra HD (4K),65.0,2024,47999,903,4.0
Foxsky,Google TV,Ultra HD (4K),43.0,2024,16999,1045,4.3
XIAOMI,Google TV,Ultra HD (4K),55.0,2025,42999,141,4.0
SONY,Google TV,Ultra HD (4K),55.0,2025,65990,1003,4.7
TCL,Google TV,Ultra HD (4K),50.0,2025,33490,12,4.2
Acer,Google TV,HD Ready,32.0,2024,10999,77,4.1
HUIDI,Android,Full HD,43.0,2024,12999,276,3.8
LG,WebOS,Ultra HD (4K),55.0,2025,43990,1690,4.4
LG,WebOS,Ultra HD (4K),50.0,2025,37990,1690,4.4
Samsung,Google TV,Ultra HD (4K),55.0,2023,43990,3724,4.3
TOSHIBA,Google TV,Ultra HD (4K),85.0,2024,139999,803,4.3
Hisense,Google TV,Full HD,43.0,2024,19499,483,4.2
Foxsky,Google TV,Ultra HD (4K),43.0,2024,16999,1045,4.3
Acer,Google TV,Ultra HD (4K),50.0,2023,25999,569,4.2
Hisense,Google TV,Ultra HD (4K),65.0,2024,67999,48,4.2
Haier,Google TV,Ultra HD (4K),55.0,2025,48990,6,4.1
Blaupunkt,Android,Full HD,43.0,2023,16999,3509,4.4
Samsung,Google TV,Ultra HD (4K),55.0,2025,41990,3724,4.3
XIAOMI,FireTv OS,Ultra HD (4K),55.0,2025,37999,141,4.0
Samsung,Google TV,Ultra HD (4K),55.0,2025,49990,66,4.4
MarQ,Coolita,Full HD,43.0,2023,14899,737,4.2
Foxsky,Google TV,HD Ready,32.0,2024,7499,1045,4.3
Foxsky,Android,HD Ready,32.0,2023,6999,1855,4.1
XElectron,Google TV,HD Ready,32.0,2023,6990,166,4.1
MOTOROLA,Google TV,Ultra HD (4K),50.0,2023,26999,732,4.3
Samsung,Google TV,Ultra HD (4K),43.0,2023,30990,3724,4.3
SONY,Google TV,Ultra HD (4K),50.0,2024,54990,14,4.5
XIAOMI,FireTv OS,HD Ready,32.0,2025,11999,6401,4.3
XIAOMI,Google TV,HD Ready,32.0,2025,13999,141,4.0
Infinix,WebOS,HD Ready,32.0,2025,9499,2,4.0
Acer,Google TV,Ultra HD (4K),50.0,2024,25999,173,4.0
XIAOMI,Google TV,Ultra HD (4K),55.0,2025,42999,141,4.0
LG,WebOS,Ultra HD (4K),55.0,2025,43990,1690,4.4
Blaupunkt,Android,Full HD,40.0,2023,14499,3509,4.4
Samsung,Google TV,Ultra HD (4K),65.0,2023,69990,3724,4.3
TOSHIBA,Google TV,Ultra HD (4K),50.0,2022,32299,336,4.3
TCL,Google TV,Ultra HD (4K),65.0,2025,67990,3,4.2
Foxsky,Google TV,HD Ready,32.0,2024,7499,1045,4.3
Foxsky,Android,HD Ready,32.0,2023,6999,1855,4.1
Sansui,Google TV,HD Ready,32.0,2023,11990,244,4.2
TCL,Google TV,Ultra HD (4K),55.0,2025,41990,8,4.1
XIAOMI,FireTv OS,HD Ready,32.0,2025,11999,6401,4.3
Hisense,Google TV,Full HD,43.0,2024,19499,483,4.2
Hisense,Google TV,Ultra HD (4K),65.0,2024,67999,48,4.2
TOSHIBA,Google TV,Ultra HD (4K),75.0,2025,84999,216,4.2
Acer,Google TV,Ultra HD (4K),55.0,2023,41990,569,4.2
TOSHIBA,Google TV,Ultra HD (4K),65.0,2024,49999,803,4.3
Samsung,Google TV,Ultra HD (4K),55.0,2025,41990,3724,4.3
Foxsky,Google TV,Ultra HD (4K),43.0,2024,16999,1045,4.3
ONIDA,Google TV,Ultra HD (4K),55.0,2023,29990,66,4.1
BESTON,Google TV,Ultra HD (4K),43.0,2025,18999,7,4.4
XIAOMI,FireTv OS,Ultra HD (4K),55.0,2025,37999,141,4.0
XIAOMI,Google TV,Ultra HD (4K),55.0,2025,42999,141,4.0
LG,WebOS,Ultra HD (4K),43.0,2025,31990,1690,4.4
SONY,Google TV,Ultra HD (4K),65.0,2024,78500,14,4.5
Admiral,Google TV,Ultra HD (4K),55.0,2024,27999,47,4.2
KODAK,Android,Full HD,40.0,2024,14499,7747,4.4
Foxsky,Google TV,HD Ready,32.0,2024,7499,1045,4.3
Foxsky,Android,HD Ready,32.0,2023,6999,1855,4.1
Acer,Google TV,Ultra HD (4K),43.0,2023,24999,189,4.0
LG,WebOS,Ultra HD (4K),43.0,2025,31990,1690,4.4
XIAOMI,FireTv OS,HD Ready,32.0,2025,11999,6401,4.3
Hisense,Google TV,Full HD,43.0,2024,19499,483,4.2
Infinix,Android,Ultra HD (4K),55.0,2022,32999,69,4.3
LG,WebOS,Ultra HD (4K),65.0,2022,152199,108,4.4
TCL,Google TV,Ultra HD (4K),55.0,2025,41990,8,4.1
TCL,Google TV,Ultra HD (4K),55.0,2024,59990,8,4.1
Samsung,Google TV,Ultra HD (4K),55.0,2025,41990,3724,4.3
